Date,NN_Mainstream_Sentences,NN_Techblog_Sentences,Mainstream_Baseline,Tech_Blogs_Baseline,Mainstream_share,Tech_Blogs_Share
2017-05-01,68,68,167521,27053,0.0004059,0.0025136
2017-05-02,38,50,172881,34638,0.0002198,0.0014435
2017-05-03,65,37,181903,34533,0.0003573,0.0010714
2017-05-04,8,4,183499,31078,0.0000436,0.0001287
2017-05-05,21,1,166058,24106,0.0001265,0.0000415
2017-05-06,2,0,93524,7847,0.0000214,0.0000000
2017-05-07,14,0,90355,10035,0.0001549,0.0000000
2017-05-08,328,131,169120,29368,0.0019395,0.0044606
2017-05-09,57,38,181765,33676,0.0003136,0.0011284
2017-05-10,11,59,179745,30703,0.0000612,0.0019216
2017-05-11,23,40,181539,30724,0.0001267,0.0013019
2017-05-12,16,0,172370,26498,0.0000928,0.0000000
2017-05-13,20,32,92274,8354,0.0002167,0.0038305
2017-05-14,0,0,89398,9301,0.0000000,0.0000000
2017-05-15,24,69,173973,32067,0.0001380,0.0021517
2017-05-16,0,38,177911,36669,0.0000000,0.0010363
2017-05-17,76,72,187706,33986,0.0004049,0.0021185
2017-05-18,238,160,181738,28050,0.0013096,0.0057041
2017-05-19,26,82,161340,25596,0.0001612,0.0032036
2017-05-20,11,4,92016,7759,0.0001195,0.0005155
2017-05-21,0,9,92572,7334,0.0000000,0.0012272
2017-05-22,20,2,175568,28709,0.0001139,0.0000697
2017-05-23,30,59,175530,35505,0.0001709,0.0016617
2017-05-24,0,43,179431,30174,0.0000000,0.0014251
2017-05-25,29,18,183756,29368,0.0001578,0.0006129
2017-05-26,25,9,166828,23366,0.0001499,0.0003852
2017-05-27,0,0,92531,8610,0.0000000,0.0000000
2017-05-28,0,0,85294,8394,0.0000000,0.0000000
2017-05-29,0,12,110512,15816,0.0000000,0.0007587
2017-05-30,1,45,167737,31137,0.0000060,0.0014452
2017-05-31,30,40,178150,33922,0.0001684,0.0011792
2017-06-01,23,34,186816,33008,0.0001231,0.0010301
2017-06-02,0,10,160522,25747,0.0000000,0.0003884
2017-06-03,0,0,93119,7353,0.0000000,0.0000000
2017-06-04,0,0,89144,8036,0.0000000,0.0000000
2017-06-05,1,1,172965,32898,0.0000058,0.0000304
2017-06-06,63,99,171854,31402,0.0003666,0.0031527
2017-06-07,3,25,164117,29277,0.0000183,0.0008539
2017-06-08,0,3,168053,29983,0.0000000,0.0001001
2017-06-09,0,21,158527,24598,0.0000000,0.0008537
2017-06-10,1,0,93856,9986,0.0000107,0.0000000
2017-06-11,0,0,92362,10815,0.0000000,0.0000000
2017-06-12,1,13,169433,31637,0.0000059,0.0004109
2017-06-13,3,8,171018,31859,0.0000175,0.0002511
2017-06-14,17,22,166376,26890,0.0001022,0.0008181
2017-06-15,22,37,172751,28258,0.0001274,0.0013094
2017-06-16,12,45,158787,25845,0.0000756,0.0017411
2017-06-17,1,0,85106,8356,0.0000118,0.0000000
2017-06-18,0,0,83604,7145,0.0000000,0.0000000
2017-06-19,2,24,159786,29273,0.0000125,0.0008199
2017-06-20,17,4,174054,34629,0.0000977,0.0001155
2017-06-21,2,6,170487,32236,0.0000117,0.0001861
2017-06-22,15,36,176082,28597,0.0000852,0.0012589
2017-06-23,3,1,146041,22463,0.0000205,0.0000445
2017-06-24,0,0,27759,2191,0.0000000,0.0000000
2017-06-25,1,12,84325,8922,0.0000119,0.0013450
2017-06-26,1,6,171337,31947,0.0000058,0.0001878
2017-06-27,0,1,168621,31472,0.0000000,0.0000318
2017-06-28,13,11,175694,31182,0.0000740,0.0003528
2017-06-29,9,16,172115,30027,0.0000523,0.0005329
2017-06-30,0,1,162840,23812,0.0000000,0.0000420
2017-07-01,0,0,87476,8167,0.0000000,0.0000000
2017-07-02,1,0,84190,8303,0.0000119,0.0000000
2017-07-03,0,2,136346,18480,0.0000000,0.0001082
2017-07-04,0,4,104476,16843,0.0000000,0.0002375
2017-07-05,0,6,151338,24846,0.0000000,0.0002415
2017-07-06,2,6,200749,27916,0.0000100,0.0002149
2017-07-07,6,25,155654,23711,0.0000385,0.0010544
2017-07-08,0,8,82327,7028,0.0000000,0.0011383
2017-07-09,1,10,86023,7387,0.0000116,0.0013537
2017-07-10,25,20,152534,26069,0.0001639,0.0007672
2017-07-11,129,169,163047,30578,0.0007912,0.0055268
2017-07-12,352,435,190644,31264,0.0018464,0.0139138
2017-07-13,29,129,176525,26705,0.0001643,0.0048306
2017-07-14,15,39,154331,21517,0.0000972,0.0018125
2017-07-15,5,3,81104,8079,0.0000616,0.0003713
2017-07-16,17,0,85036,9097,0.0001999,0.0000000
2017-07-17,13,10,153435,25058,0.0000847,0.0003991
2017-07-18,59,35,159982,28852,0.0003688,0.0012131
2017-07-19,30,25,163781,28398,0.0001832,0.0008803
2017-07-20,10,30,168086,29351,0.0000595,0.0010221
